epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.829,0.57359,0.70967,0.89171,0.88577,0.975,0.96295,0.80889,0.6629,0.66774,0.88292,4e-05,4e-05,4e-05
2,83.4411,0.52259,0.61262,0.83752,0.95219,0.99599,0.97881,0.80222,0.71194,0.6499,0.91167,9.01e-05,9.01e-05,9.01e-05
3,123.516,0.61003,0.65626,0.87856,0.9472,0.975,0.98373,0.78327,0.7514,0.67753,0.94123,0.00012832,0.00012832,0.00012832
4,162.497,0.53506,0.59175,0.86442,0.92563,0.975,0.987,0.79138,0.74736,0.68043,0.93812,0.00015466,0.00015466,0.00015466
5,198.021,0.57546,0.61961,0.87697,0.97351,0.91901,0.98356,0.78457,0.78655,0.70422,0.96182,0.00016912,0.00016912,0.00016912
6,230.618,0.57294,0.65149,0.8754,0.95099,0.97023,0.98548,0.80432,0.74292,0.68444,0.93029,0.0001717,0.0001717,0.0001717
7,263.624,0.54857,0.635,0.86288,0.95106,0.97171,0.98249,0.79804,0.7118,0.65804,0.91094,0.0001624,0.0001624,0.0001624
8,297.189,0.52837,0.58694,0.84982,0.93438,0.975,0.98343,0.79893,0.69469,0.64356,0.903,0.00014122,0.00014122,0.00014122
9,336.667,0.54642,0.5766,0.84309,0.92266,1,0.97886,0.79702,0.66848,0.63093,0.88897,0.00010816,0.00010816,0.00010816
10,375.645,0.51651,0.59485,0.87678,0.95231,0.99842,0.98032,0.80117,0.66062,0.62377,0.88529,6.322e-05,6.322e-05,6.322e-05
