epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.383,1.01976,1.34283,1.11552,0.56539,0.77027,0.60216,0.41209,0.9645,1.54115,1.11172,0.00022,0.00022,0.00022
2,237.355,0.85249,1.1373,1.01728,0.64563,0.76327,0.73421,0.52746,0.82571,1.24871,1.00287,0.000450892,0.000450892,0.000450892
3,345.724,0.7899,1.00202,0.99027,0.7351,0.81081,0.83693,0.62735,0.81946,1.40822,0.99113,0.00067228,0.00067228,0.00067228
4,448.523,0.75542,0.90081,0.97711,0.74681,0.7973,0.82979,0.66698,0.78729,0.9752,0.97236,0.000884164,0.000884164,0.000884164
5,556.382,0.7627,0.84576,0.97109,0.7158,0.71622,0.77914,0.55492,1.02028,1.24238,1.06651,0.00108654,0.00108654,0.00108654
6,660.912,0.72142,0.83923,0.95856,0.76266,0.89189,0.90647,0.6387,0.99491,1.11416,1.02882,0.00127942,0.00127942,0.00127942
7,765.885,0.72365,0.76025,0.94728,0.4999,0.62137,0.52338,0.26952,1.14308,1.75909,1.14679,0.00146279,0.00146279,0.00146279
8,1022.75,0.72544,0.73829,0.95048,0.93862,0.72973,0.85207,0.6089,0.96848,1.10209,1.06514,0.00163666,0.00163666,0.00163666
9,1131.45,0.71608,0.73734,0.9555,0.7479,0.68159,0.78021,0.54536,1.00626,1.16256,1.1104,0.0016832,0.0016832,0.0016832
10,1243.22,0.73021,0.70481,0.95361,0.80754,0.83784,0.90585,0.67508,0.85992,0.98656,0.98836,0.0016436,0.0016436,0.0016436
11,1355.72,0.70992,0.69003,0.94779,0.84493,0.86486,0.91846,0.71251,0.80576,0.85301,0.97008,0.001604,0.001604,0.001604
12,1466.63,0.72312,0.68517,0.94904,0.92467,0.71622,0.86661,0.63321,0.93868,1.01268,1.09442,0.0015644,0.0015644,0.0015644
13,1573.79,0.71651,0.65066,0.94952,0.78925,0.77027,0.86698,0.67773,0.82532,0.87788,0.99647,0.0015248,0.0015248,0.0015248
14,1685.82,0.6867,0.65218,0.9526,0.80616,0.90541,0.919,0.73007,0.7627,0.74007,0.96359,0.0014852,0.0014852,0.0014852
15,1795.1,0.62908,0.61353,0.92722,0.91647,0.82432,0.92475,0.72586,0.78039,0.858,0.98085,0.0014456,0.0014456,0.0014456
16,1904.01,0.62881,0.60653,0.92088,0.92354,0.85135,0.9485,0.74323,0.81248,0.69745,1.00718,0.001406,0.001406,0.001406
17,2010.83,0.63186,0.57809,0.91509,0.90352,0.91892,0.96857,0.74738,0.80141,0.65758,0.97314,0.0013664,0.0013664,0.0013664
18,2118.45,0.65353,0.57816,0.91023,0.92886,0.90541,0.95189,0.74616,0.76193,0.71813,0.95171,0.0013268,0.0013268,0.0013268
19,2227.53,0.63614,0.57422,0.91746,0.82388,0.91892,0.95018,0.7754,0.69495,0.61827,0.92902,0.0012872,0.0012872,0.0012872
20,2333.8,0.6321,0.55173,0.91849,0.9334,0.98649,0.97398,0.77236,0.73059,0.54296,0.94089,0.0012476,0.0012476,0.0012476
21,2443.03,0.62026,0.54041,0.90847,0.89842,0.95624,0.94777,0.7746,0.66393,0.56487,0.90553,0.001208,0.001208,0.001208
22,2553.82,0.60797,0.50378,0.89928,0.9006,0.94595,0.96593,0.80795,0.67098,0.577,0.90944,0.0011684,0.0011684,0.0011684
23,2662.2,0.60009,0.49965,0.9009,0.90782,0.94595,0.95589,0.76342,0.72281,0.57896,0.93353,0.0011288,0.0011288,0.0011288
24,2770.13,0.62499,0.5026,0.90997,0.9387,0.94595,0.95711,0.76839,0.73135,0.56486,0.93045,0.0010892,0.0010892,0.0010892
25,2878.65,0.57358,0.48544,0.88958,0.95827,0.95946,0.98153,0.80487,0.68016,0.53077,0.91708,0.0010496,0.0010496,0.0010496
26,2986.5,0.60531,0.48455,0.89564,0.93372,0.95195,0.97236,0.79751,0.69945,0.507,0.9196,0.00101,0.00101,0.00101
27,3095.03,0.57389,0.47638,0.9057,0.93496,0.97127,0.9837,0.81214,0.67071,0.46858,0.91127,0.0009704,0.0009704,0.0009704
28,3206.18,0.59461,0.47827,0.88763,0.97367,0.99943,0.99187,0.82488,0.64583,0.42649,0.91109,0.0009308,0.0009308,0.0009308
29,3317.26,0.56049,0.45104,0.88783,0.98247,1,0.989,0.81027,0.70393,0.4367,0.93909,0.0008912,0.0008912,0.0008912
30,3425.43,0.56346,0.45168,0.89035,0.98486,1,0.9886,0.79631,0.7299,0.41427,0.94582,0.0008516,0.0008516,0.0008516
31,3533.75,0.55308,0.44768,0.88147,0.95836,1,0.98873,0.82764,0.67127,0.4137,0.92717,0.000812,0.000812,0.000812
32,3643.31,0.56967,0.44724,0.89621,0.93322,0.97297,0.97993,0.81193,0.70113,0.46119,0.93909,0.0007724,0.0007724,0.0007724
33,3750.52,0.56737,0.44783,0.89274,0.95912,0.95131,0.97027,0.7964,0.68851,0.49692,0.93167,0.0007328,0.0007328,0.0007328
34,3856.14,0.5351,0.42203,0.88894,0.93329,0.97297,0.96064,0.73715,0.76661,0.49869,0.94997,0.0006932,0.0006932,0.0006932
35,3965.12,0.52777,0.41288,0.88775,0.94406,0.97297,0.95873,0.7786,0.71157,0.4924,0.93838,0.0006536,0.0006536,0.0006536
36,4361.16,0.52684,0.40545,0.88573,0.93355,0.97297,0.96639,0.79182,0.72166,0.49261,0.93555,0.000614,0.000614,0.000614
37,4469.2,0.53885,0.41519,0.88327,0.93499,0.97178,0.9735,0.79661,0.70714,0.47475,0.93158,0.0005744,0.0005744,0.0005744
38,4577.77,0.50717,0.38639,0.87809,0.92184,0.97297,0.97611,0.80618,0.68715,0.4626,0.92843,0.0005348,0.0005348,0.0005348
39,4738.85,0.50456,0.39199,0.87969,0.94348,0.97297,0.98906,0.82195,0.66526,0.41433,0.92778,0.0004952,0.0004952,0.0004952
40,4847.83,0.49096,0.38285,0.86597,0.95994,0.97146,0.98927,0.80451,0.70693,0.41938,0.92852,0.0004556,0.0004556,0.0004556
41,4955,0.43918,0.36454,0.83441,0.97254,0.95707,0.9892,0.8031,0.72825,0.42321,0.93517,0.000416,0.000416,0.000416
42,5060.6,0.45636,0.36401,0.8274,0.98662,0.99678,0.99273,0.81672,0.68073,0.41274,0.91737,0.0003764,0.0003764,0.0003764
43,5169.59,0.45006,0.33039,0.8314,0.97732,0.98649,0.99149,0.82642,0.66704,0.40303,0.91805,0.0003368,0.0003368,0.0003368
44,5274.27,0.45221,0.34253,0.82867,0.98249,0.98649,0.9915,0.81718,0.6815,0.4002,0.92184,0.0002972,0.0002972,0.0002972
45,5382.04,0.44698,0.32818,0.83101,0.9605,0.98572,0.9865,0.83511,0.64956,0.39399,0.91741,0.0002576,0.0002576,0.0002576
46,5489.88,0.44254,0.32447,0.83011,0.96045,0.98445,0.98406,0.83333,0.65166,0.39332,0.91991,0.000218,0.000218,0.000218
